Name,Price,Author,Date,Publisher,Comment,sales
大数据分析师权威教程 ,62.4,Wrox国际IT认证项目组,7/1/2017,人民邮电出版社,747,228143
程序员面试宝典：百面机器学习+百面深度学习 ,135.1,诸葛越,7/1/2020,,0,254918
AI学习路径之零基础入门机器学习算法与实战套装 ,115.9,莫凡,4/1/2020,机械工业出版社,18,83428
跟着迪哥学Python数据分析与机器学习实战 ,70.3,唐宇迪,9/1/2019,人民邮电出版社,280,114886
Python机器学习手册：从数据预处理到深度学习,,,,,,152227
商业数据科学：数据价值与机器学习实战 ,44.9,张诚,2/18/2019,机械工业出版社,103,129021
Python金融大数据风控建模实战：基于机器学习 ,82.1,王青天,6/12/2020,机械工业出版社,8,233019
深入理解AutoML和AutoDL：构建自动化机器学习与深度学习平台 ,68.3,王健宗,8/30/2019,机械工业出版社,586,3368
【按需印刷】-生物信息学中的机器学习分析方法 ,69,王雪松,3/1/2016,科学出版社,31,115462
基于免疫计算的机器学习方法及应用,33.8,徐雪松,8/1/2017,电子工业出版社,31,148113
多维粒子群优化在机器学习与模式识别中的应用,85.3,彭鹏菲,9/1/2017,国防工业出版社,28,114602
微软Azure机器学习实战手册,50.3,千贺大司,11/1/2017,中国人民大学出版社,58,275140
TensorFlow深度学习算法原理与编程实战 ,67.9,蒋子阳,1/1/2019,水利水电出版社,3964,21445
Python+Spark ,78.2,林大贵,1/1/2018,清华大学出版社,1216,65035
实用机器学习,,,,,,143509
